sample,niche_ref,volume_OQ,OMI_OQ,growth_rate_max,standard_deviation,abundance_threshold,density_max,dispersal_p,dispersal_r,harvest_max,harvest_z,p
348,0.7_327,0.393494898,0.834821429,0.741,0.098,11,2565,0.211,106,0.148,1.27,0.29
862,0.7_164,0.411352041,0.814413265,0.586,0.198,4,2299,0.15,107,0.208,1.35,0.27
971,0.7_179,0.399872449,0.708545918,0.48,0.185,4,2655,0.193,106,0.054,1.21,0.56
1508,0.7_68,0.364158163,0.924107143,0.626,0.203,4,1939,0.144,105,0.094,1.37,0.59
1654,0.7_179,0.399872449,0.708545918,0.735,0.214,18,2036,0.162,102,0.091,1.19,0.33
2140,0.7_54,0.40752551,0.913903061,0.467,0.205,13,2420,0.173,99,0.097,1.51,0.42
2390,0.7_230,0.459821429,0.888392857,0.791,0.206,11,2198,0.154,95,0.069,1.26,0.57
2423,0.7_54,0.40752551,0.913903061,0.586,0.113,3,2484,0.145,108,0.171,1.26,0.24
2458,0.7_101,0.458545918,0.90752551,0.388,0.202,13,2208,0.148,96,0.198,1.68,0.19
3117,0.7_54,0.40752551,0.913903061,0.547,0.159,9,1767,0.175,113,0.136,1.25,0.2
3408,0.75_11,0.46747449,0.778061224,0.833,0.121,9,1324,0.136,104,0.091,1.28,0.45
4532,0.75_15,0.371811224,0.50255102,0.563,0.195,6,1280,0.18,110,0.11,1.61,0.59
4779,0.75_194,0.559311224,0.735331633,0.808,0.091,9,2249,0.18,108,0.182,1.36,0.35
4813,0.75_187,0.322066327,0.27869898,0.657,0.108,8,2137,0.17,124,0.086,1.39,0.58
5085,0.75_30,0.308035714,0.72002551,0.676,0.104,7,2237,0.18,104,0.13,1.18,0.24
5148,0.75_10,0.496811224,0.758290816,0.529,0.184,3,2119,0.198,98,0.141,1.37,0.43
5226,0.75_30,0.308035714,0.72002551,0.469,0.118,12,1141,0.196,99,0.069,1.65,0.5
5386,0.75_194,0.559311224,0.735331633,0.701,0.086,5,2058,0.211,111,0.082,1.27,0.6
5924,0.75_30,0.308035714,0.72002551,0.536,0.11,7,2570,0.193,99,0.161,1.52,0.43
7082,0.75_9,0.46875,0.262755102,0.737,0.166,13,2456,0.151,108,0.188,1.3,0.19
7383,0.75_3,0.464923469,0.597576531,0.578,0.126,4,1015,0.147,99,0.2,1.57,0.34
7885,0.75_23,0.34630102,0.307397959,0.648,0.147,17,2268,0.183,95,0.107,1.46,0.34
7992,0.75_6,0.453443878,0.545918367,0.686,0.2,13,2430,0.181,95,0.207,1.71,0.38
8520,0.75_9,0.46875,0.262755102,0.695,0.208,5,1279,0.168,94,0.1,1.22,0.37
9694,0.75_95,0.515943878,0.643494898,0.853,0.155,14,1436,0.16,107,0.192,1.33,0.2
